Designator,Quantity,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly
F115,1,3/4A S.B.,0239.750MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3157012,Extended,Through-hole/manual
F116,1,3A S.B.,0239003.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C142824,Extended,Through-hole/manual
F103A F103B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F104A F104B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F105A F105B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F106A F106B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F107A F107B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F108A F108B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F109A F109B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F110A F110B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F111A F111B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F112A F112B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F113A F113B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F114A F114B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F115A F115B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F116A F116B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
J101,1,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),26604070,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,C587091,Extended,Through-hole/manual
J102,1,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),0026604090,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,C17420444,Extended,Through-hole/manual
