Designator,Quantity,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly
C46,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C47,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
C48,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
C49,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C50,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C51,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C52,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
C53,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C54,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
C55,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
C56,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C57,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C58,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
D1,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT
D2,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT
D3,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT
D5,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D6,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D7,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D8,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D9,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT
D10,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT
D11,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT
D12,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT
D17,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D18,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D19,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D20,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D21,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D22,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D23,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D24,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D25,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D26,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D27,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D28,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D29,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
D30,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT
