Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
C37,C37,1,680pF,CC0805JRNPO9BN681,YAGEO,Capacitor_SMD:C_0805_2012Metric,C107121,Extended,SMT,
C38,C38,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C39,C39,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C40,C40,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C41,C41,1,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,C307331,Basic,SMT,
C42,C42,1,330nF,CL21B334KBFNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_0805_2012Metric,C73142,Extended,SMT,
C43,C43,1,1nF,CC0805JRNPO9BN102,YAGEO,Capacitor_SMD:C_0805_2012Metric,C62774,Extended,SMT,
C44,C44,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C45,C45,1,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,C307331,Basic,SMT,
C46,C46,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C47,C47,1,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,C307331,Basic,SMT,
C48,C48,1,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,C307331,Basic,SMT,
C49,C49,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C50,C50,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C51,C51,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C52,C52,1,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,C307331,Basic,SMT,
C53,C53,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C54,C54,1,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,C307331,Basic,SMT,
C55,C55,1,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,C307331,Basic,SMT,
C56,C56,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C57,C57,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C58,C58,1,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C138687,Extended,SMT,
C59,C59,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C60,C60,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C61,C61,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C62,C62,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C63,C63,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C64,C64,1,1000uF 100V,NHA100V1000M18*40 LO,SamYoung Electronics,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C3445915,Extended,Through-hole/manual,
C65,C65,1,1000uF 100V,NHA100V1000M18*40 LO,SamYoung Electronics,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C3445915,Extended,Through-hole/manual,
D1,D1,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D2,D2,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D3,D3,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D5,D5,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
