Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
HS7020,Q10 Q12 Q14 Q16 Q18,5,"Heatsink TO-220 bolt-on narrow channel with folded-back fins, 8.7 C/W, 33.0 x 11.9 x 36.8 mm, no PCB tabs (device screw only; #6 / M3 hole of the GBJ / GBU bridges)",7020BG,Boyd (Aavid),Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 500 plus 5% spares.
HS6224,BR3,1,"Heatsink square basket for bridge rectifiers, 9.4 C/W, 26.92 mm sq x 31.75 mm, 4.14 mm hole (M4 close clearance), sits on the metal base of the GBPC block",6223BG,Boyd (Aavid),Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 100 plus 5% spares.
HS5772,D101 D102 D103 D104,4,"TO-220 channel heatsink 13.21 x 12.70 x 19.05 mm, 24.4 C/W natural convection, direct tab mount; electrically live",577202B00000G,Boyd (Aavid),Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 400 plus 5% spares.
M3X8,D101 D102 D103 D104,4,"Screw M3 x 8 mm pan head Phillips, zinc; BR1 rectifier heatsinks",MPMS 003 0008 PH,BFirst Industrial,Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 400 plus 5% spares.
M3X12,Q10 Q12 Q14 Q16 Q18,5,"Screw M3 x 12 mm pan head Phillips, zinc (heatsink to TO-220 / GBJ / GBU)",MPMS 003 0012 PH,B&F Fastener Supply,Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 500 plus 5% spares.
M3NUT,D101 D102 D103 D104 Q10 Q12 Q14 Q16 Q18,9,"Hex nut M3, zinc",MHNZ 003,B&F Fastener Supply,Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 900 plus 5% spares.
M4X20,BR3 H9,1,"M4 x 20 mm JIS-B1111 Phillips pan screw, zinc steel; thicker GBPC2506W / 6223BG mounting",MJ420MPP,Kanebridge,Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 100 plus 5% spares.
M4NUT,BR3 H9,1,"Hex nut M4, zinc",MHNZ 004,B&F Fastener Supply,Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. 100-board build requires 100 plus 5% spares.
THERMALPASTE,All ten heatsink interfaces,as needed,"Silicone-free thermal paste, 3 mL syringe; thin bond line at all rectifier/triac heatsink interfaces, consumable per build batch",8616-3ML,MG Chemicals,Mechanical model attached to parent footprint,,External hardware,Mechanical/manual,Externally procured; inventory not covered by JLCPCB audit. One 3 mL syringe initial batch provision; replenish according to measured application consumption.
