 time            v(vout)         v(vinf)         v(en)           i(L1)          
 5.50000000e-05 -4.16632919e-12  3.90453881e-06  2.07968058e-02  3.94823511e-13 
 5.60000000e-05 -4.16355186e-12  4.71549107e-06  2.07969137e-02  4.76719997e-13 
 5.70000000e-05 -4.16042874e-12  5.62732250e-06  2.07970351e-02  5.68803506e-13 
 5.80000000e-05 -4.15691685e-12  6.65257052e-06  2.07971715e-02  6.72341033e-13 
 5.90000000e-05 -4.15296783e-12  7.80532668e-06  2.07973249e-02  7.88755650e-13 
 6.00000000e-05 -4.14852741e-12  9.10142819e-06  2.07974973e-02  9.19646019e-13 
 6.10000000e-05 -4.14353450e-12  1.05586729e-05  2.07976912e-02  1.06681023e-12 
 6.20000000e-05 -4.13792051e-12  1.21970604e-05  2.07979092e-02  1.23226721e-12 
 6.30000000e-05 -4.13160833e-12  1.40390620e-05  2.07981543e-02  1.41828708e-12 
 6.40000000e-05 -4.12451129e-12  1.61099240e-05  2.07984298e-02  1.62741908e-12 
 6.50000000e-05 -4.11653207e-12  1.84380065e-05  2.07987396e-02  1.86252686e-12 
 6.60000000e-05 -4.10756126e-12  2.10551635e-05  2.07990878e-02  2.12682771e-12 
 6.70000000e-05 -4.09747601e-12  2.39971679e-05  2.07994793e-02  2.42393461e-12 
 6.80000000e-05 -4.08613830e-12  2.73041869e-05  2.07999193e-02  2.75790412e-12 
 6.90000000e-05 -4.07339319e-12  3.10213132e-05  2.08004139e-02  3.13328872e-12 
 7.00000000e-05 -4.05906664e-12  3.51991584e-05  2.08009698e-02  3.55520065e-12 
 7.10000000e-05 -4.04296330e-12  3.98945148e-05  2.08015945e-02  4.02937480e-12 
 7.20000000e-05 -4.02486392e-12  4.51710931e-05  2.08022966e-02  4.56224492e-12 
 7.30000000e-05 -4.00452244e-12  5.11003442e-05  2.08030855e-02  5.16102880e-12 
 7.40000000e-05 -3.98166290e-12  5.77623718e-05  2.08039719e-02  5.83381352e-12 
 7.50000000e-05 -3.95597576e-12  6.52469472e-05  2.08049678e-02  6.58966540e-12 
 7.60000000e-05 -3.92711402e-12  7.36546329e-05  2.08060865e-02  7.43874031e-12 
 7.70000000e-05 -3.89468876e-12  8.30980266e-05  2.08073430e-02  8.39241008e-12 
 7.80000000e-05 -3.85826440e-12  9.37031339e-05  2.08087541e-02  9.46339872e-12 
 7.90000000e-05 -3.81735316e-12  1.05610881e-04  2.08103385e-02  1.06659398e-11 
 8.00000000e-05 -3.77140921e-12  1.18978776e-04  2.08121173e-02  1.20159385e-11 
 8.10000000e-05 -3.71982210e-12  1.33982727e-04  2.08141137e-02  1.35311602e-11 
 8.20000000e-05 -3.66190952e-12  1.50819027e-04  2.08163539e-02  1.52314273e-11 
 8.30000000e-05 -3.59690948e-12  1.69706510e-04  2.08188671e-02  1.71388411e-11 
 8.40000000e-05 -3.52397163e-12  1.90888883e-04  2.08216856e-02  1.92780129e-11 
 8.50000000e-05 -3.44214796e-12  2.14637230e-04  2.08248456e-02  2.16763194e-11 
 8.60000000e-05 -3.35038267e-12  2.41252692e-04  2.08283871e-02  2.43641725e-11 
 8.70000000e-05 -3.24750119e-12  2.71069311e-04  2.08323546e-02  2.73753083e-11 
 8.80000000e-05 -3.13219865e-12  3.04457005e-04  2.08367972e-02  3.07470838e-11 
 8.90000000e-05 -3.00302736e-12  3.41824678e-04  2.08417696e-02  3.45207946e-11 
 9.00000000e-05 -2.85838378e-12  3.83623404e-04  2.08473315e-02  3.87419960e-11 
 9.10000000e-05 -2.69649489e-12  4.30349637e-04  2.08535492e-02  4.34608251e-11 
 9.20000000e-05 -2.51540405e-12  4.82548397e-04  2.08604952e-02  4.87323241e-11 
 9.30000000e-05 -2.31295670e-12  5.40816334e-04  2.08682490e-02  5.46167520e-11 
 9.40000000e-05 -2.08678602e-12  6.05804578e-04  2.08768970e-02  6.11798665e-11 
 9.50000000e-05 -1.83429874e-12  6.78221256e-04  2.08865338e-02  6.84931836e-11 
 9.60000000e-05 -1.55266176e-12  7.58833525e-04  2.08972613e-02  7.66341824e-11 
 9.70000000e-05 -1.23878972e-12  8.48468974e-04  2.09091898e-02  8.56864462e-11 
 9.80000000e-05 -8.89334198e-13  9.48016212e-04  2.09224376e-02  9.57397181e-11 
 9.90000000e-05 -5.00674899e-13  1.05842445e-03  2.09371310e-02  1.06889866e-10 
 1.00000000e-04 -6.89136510e-14  1.18070190e-03  2.09534044e-02  1.19238716e-10 
