 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  5.10499956e+00 -3.66748881e-07  4.12063282e-05 -6.03707454e-07 
 6.60000000e-05  3.46340590e+00  1.01514200e+00  5.87447816e-02 -1.85958309e+01 
 6.70000000e-05  3.43264250e+00  1.02233978e+00  5.87659729e-02 -1.86892468e+01 
 6.80000000e-05  3.40185004e+00  1.02932386e+00  5.87863728e-02 -1.87781908e+01 
 6.90000000e-05  3.37103400e+00  1.03609628e+00  5.88060043e-02 -1.88627148e+01 
 7.00000000e-05  3.34019984e+00  1.04266045e+00  5.88248940e-02 -1.89428996e+01 
 7.10000000e-05  3.30935272e+00  1.04901545e+00  5.88430520e-02 -1.90187350e+01 
 7.20000000e-05  3.27849803e+00  1.05516512e+00  5.88605048e-02 -1.90903106e+01 
 7.30000000e-05  3.24764093e+00  1.06111132e+00  5.88772704e-02 -1.91576739e+01 
 7.40000000e-05  3.21678650e+00  1.06685610e+00  5.88933670e-02 -1.92208766e+01 
 7.50000000e-05  3.18593977e+00  1.07240151e+00  5.89088119e-02 -1.92799702e+01 
 7.60000000e-05  3.15510568e+00  1.07774962e+00  5.89236216e-02 -1.93350064e+01 
 7.70000000e-05  3.12428910e+00  1.08290248e+00  5.89378120e-02 -1.93860366e+01 
 7.80000000e-05  3.09349483e+00  1.08786216e+00  5.89513983e-02 -1.94331121e+01 
 7.90000000e-05  3.06272758e+00  1.09263072e+00  5.89643951e-02 -1.94762840e+01 
 8.00000000e-05  3.03199199e+00  1.09721022e+00  5.89768163e-02 -1.95156035e+01 
 8.10000000e-05  3.00129264e+00  1.10160274e+00  5.89886752e-02 -1.95511216e+01 
 8.20000000e-05  2.97063402e+00  1.10581032e+00  5.89999849e-02 -1.95828890e+01 
 8.30000000e-05  2.94002055e+00  1.10983504e+00  5.90107575e-02 -1.96109563e+01 
 8.40000000e-05  2.90945657e+00  1.11367896e+00  5.90210051e-02 -1.96353743e+01 
 8.50000000e-05  2.87894638e+00  1.11734414e+00  5.90307390e-02 -1.96561931e+01 
 8.60000000e-05  2.84849416e+00  1.12083264e+00  5.90399703e-02 -1.96734631e+01 
 8.70000000e-05  2.81810405e+00  1.12414652e+00  5.90487095e-02 -1.96872342e+01 
