 time            v(vout)         v(vinf)         v(en)           i(L1)          
 5.50000000e-05 -1.55027817e-12  3.90453881e-06  2.07968058e-02  3.94630619e-13 
 5.60000000e-05 -1.54751061e-12  4.71549107e-06  2.07969137e-02  4.76526326e-13 
 5.70000000e-05 -1.54439845e-12  5.62732250e-06  2.07970351e-02  5.68611081e-13 
 5.80000000e-05 -1.54089891e-12  6.65257052e-06  2.07971715e-02  6.72148394e-13 
 5.90000000e-05 -1.53696379e-12  7.80532668e-06  2.07973249e-02  7.88562596e-13 
 6.00000000e-05 -1.53253899e-12  9.10142819e-06  2.07974973e-02  9.19452644e-13 
 6.10000000e-05 -1.52756364e-12  1.05586729e-05  2.07976912e-02  1.06661702e-12 
 6.20000000e-05 -1.52196941e-12  1.21970604e-05  2.07979092e-02  1.23207401e-12 
 6.30000000e-05 -1.51567944e-12  1.40390620e-05  2.07981543e-02  1.41809336e-12 
 6.40000000e-05 -1.50860738e-12  1.61099240e-05  2.07984298e-02  1.62722595e-12 
 6.50000000e-05 -1.50065624e-12  1.84380065e-05  2.07987396e-02  1.86233369e-12 
 6.60000000e-05 -1.49171701e-12  2.10551635e-05  2.07990878e-02  2.12663522e-12 
 6.70000000e-05 -1.48166727e-12  2.39971679e-05  2.07994793e-02  2.42374195e-12 
 6.80000000e-05 -1.47036951e-12  2.73041869e-05  2.07999193e-02  2.75771065e-12 
 6.90000000e-05 -1.45766928e-12  3.10213132e-05  2.08004139e-02  3.13309517e-12 
 7.00000000e-05 -1.44339319e-12  3.51991584e-05  2.08009698e-02  3.55500759e-12 
 7.10000000e-05 -1.42734658e-12  3.98945148e-05  2.08015945e-02  4.02918224e-12 
 7.20000000e-05 -1.40931099e-12  4.51710931e-05  2.08022966e-02  4.56205201e-12 
 7.30000000e-05 -1.38904120e-12  5.11003442e-05  2.08030855e-02  5.16083547e-12 
 7.40000000e-05 -1.36626224e-12  5.77623718e-05  2.08039719e-02  5.83362014e-12 
 7.50000000e-05 -1.34066565e-12  6.52469472e-05  2.08049678e-02  6.58947192e-12 
 7.60000000e-05 -1.31190567e-12  7.36546329e-05  2.08060865e-02  7.43854723e-12 
 7.70000000e-05 -1.27959478e-12  8.30980266e-05  2.08073430e-02  8.39221755e-12 
 7.80000000e-05 -1.24329892e-12  9.37031339e-05  2.08087541e-02  9.46320632e-12 
 7.90000000e-05 -1.20253205e-12  1.05610881e-04  2.08103385e-02  1.06657469e-11 
 8.00000000e-05 -1.15675028e-12  1.18978776e-04  2.08121173e-02  1.20157454e-11 
 8.10000000e-05 -1.10534532e-12  1.33982727e-04  2.08141137e-02  1.35309666e-11 
 8.20000000e-05 -1.04763730e-12  1.50819027e-04  2.08163539e-02  1.52312346e-11 
 8.30000000e-05 -9.82866946e-13  1.69706510e-04  2.08188671e-02  1.71386479e-11 
 8.40000000e-05 -9.10186948e-13  1.90888883e-04  2.08216856e-02  1.92778200e-11 
 8.50000000e-05 -8.28652698e-13  2.14637230e-04  2.08248456e-02  2.16761263e-11 
 8.60000000e-05 -7.37212146e-13  2.41252692e-04  2.08283871e-02  2.43639796e-11 
 8.70000000e-05 -6.34694995e-13  2.71069311e-04  2.08323546e-02  2.73751151e-11 
 8.80000000e-05 -5.19801053e-13  3.04457005e-04  2.08367972e-02  3.07468904e-11 
 8.90000000e-05 -3.91087835e-13  3.41824678e-04  2.08417696e-02  3.45206019e-11 
 9.00000000e-05 -2.46957646e-13  3.83623404e-04  2.08473315e-02  3.87418032e-11 
 9.10000000e-05 -8.56439014e-14  4.30349637e-04  2.08535492e-02  4.34606320e-11 
 9.20000000e-05  9.48028981e-14  4.82548397e-04  2.08604952e-02  4.87321324e-11 
 9.30000000e-05  2.96529367e-13  5.40816334e-04  2.08682490e-02  5.46165590e-11 
 9.40000000e-05  5.21893667e-13  6.05804578e-04  2.08768970e-02  6.11796734e-11 
 9.50000000e-05  7.73479411e-13  6.78221256e-04  2.08865338e-02  6.84929912e-11 
 9.60000000e-05  1.05410914e-12  7.58833525e-04  2.08972613e-02  7.66339904e-11 
 9.70000000e-05  1.36685664e-12  8.48468974e-04  2.09091898e-02  8.56862538e-11 
 9.80000000e-05  1.71505764e-12  9.48016212e-04  2.09224376e-02  9.57395254e-11 
 9.90000000e-05  2.10231862e-12  1.05842445e-03  2.09371310e-02  1.06889674e-10 
 1.00000000e-04  2.53252272e-12  1.18070190e-03  2.09534044e-02  1.19238524e-10 
 1.01000000e-04  3.00983249e-12  1.31591278e-03  2.09713995e-02  1.32893559e-10 
 1.02000000e-04  3.53868866e-12  1.46517274e-03  2.09912649e-02  1.47967461e-10 
 1.03000000e-04  4.12380449e-12  1.62964266e-03  2.10131552e-02  1.64577475e-10 
 1.04000000e-04  4.77015512e-12  1.81052058e-03  2.10372301e-02  1.82844606e-10 
 1.05000000e-04  5.48296161e-12  2.00903187e-03  2.10636529e-02  2.02892617e-10 
 1.06000000e-04  6.26766949e-12  2.22641760e-03  2.10925889e-02  2.24846861e-10 
 1.07000000e-04  7.12992180e-12  2.46392136e-03  2.11242039e-02  2.48832946e-10 
 1.08000000e-04  8.07552683e-12  2.72277465e-03  2.11586622e-02  2.74975257e-10 
 1.09000000e-04  9.11042151e-12  3.00418129e-03  2.11961242e-02  3.03395390e-10 
 1.10000000e-04  1.02406305e-11  3.30930131e-03  2.12367447e-02  3.34210516e-10 
 1.11000000e-04  1.14722229e-11  3.63923472e-03  2.12806705e-02  3.67531746e-10 
 1.12000000e-04  1.28112673e-11  3.99500589e-03  2.13280382e-02  4.03462553e-10 
 1.13000000e-04  1.42637865e-11  4.37754891e-03  2.13789727e-02  4.42097290e-10 
 1.14000000e-04  1.58357139e-11  4.78769475e-03  2.14335849e-02  4.83519898e-10 
 1.15000000e-04  1.75328526e-11  5.22616041e-03  2.14919706e-02  5.27802803e-10 
 1.16000000e-04  1.93608374e-11  5.69354062e-03  2.15542094e-02  5.75006086e-10 
 1.17000000e-04  2.13251034e-11  6.19030237e-03  2.16203639e-02  6.25176924e-10 
 1.18000000e-04  2.34308591e-11  6.71678221e-03  2.16904792e-02  6.78349317e-10 
 1.19000000e-04  2.56830655e-11  7.27318646e-03  2.17645830e-02  7.34544112e-10 
 1.20000000e-04  2.80864226e-11  7.85959404e-03  2.18426863e-02  7.93769289e-10 
 1.21000000e-04  3.06453603e-11  8.47596180e-03  2.19247835e-02  8.56020494e-10 
 1.22000000e-04  3.33640365e-11  9.12213176e-03  2.20108537e-02  9.21281778e-10 
 1.23000000e-04  3.62463389e-11  9.79784006e-03  2.21008622e-02  9.89526496e-10 
 1.24000000e-04  3.92958922e-11  1.05027271e-02  2.21947610e-02  1.06071833e-09 
 1.25000000e-04  4.25160675e-11  1.12363484e-02  2.22924912e-02  1.13481239e-09 
 1.26000000e-04  4.59099955e-11  1.19981858e-02  2.23939838e-02  1.21175635e-09 
 1.27000000e-04  4.94805812e-11  1.27876587e-02  2.24991616e-02  1.29149157e-09 
 1.28000000e-04  5.32305189e-11  1.36041352e-02  2.26079403e-02  1.37395420e-09 
 1.29000000e-04  5.71623091e-11  1.44469420e-02  2.27202304e-02  1.45907628e-09 
 1.30000000e-04  6.12782748e-11  1.53153747e-02  2.28359379e-02  1.54678663e-09 
 1.31000000e-04  6.55805769e-11  1.62087062e-02  2.29549659e-02  1.63701183e-09 
 1.32000000e-04  7.00712300e-11  1.71261951e-02  2.30772157e-02  1.72967698e-09 
 1.33000000e-04  7.47521163e-11  1.80670923e-02  2.32025873e-02  1.82470644e-09 
 1.34000000e-04  7.96249991e-11  1.90306476e-02  2.33309806e-02  1.92202441e-09 
 1.35000000e-04  8.46915354e-11  2.00161145e-02  2.34622962e-02  2.02155552e-09 
 1.36000000e-04  8.99532864e-11  2.10227551e-02  2.35964356e-02  2.12322523e-09 
 1.37000000e-04  9.54117279e-11  2.20498435e-02  2.37333020e-02  2.22696021e-09 
 1.38000000e-04  1.01068259e-10  2.30966689e-02  2.38728005e-02  2.33268868e-09 
 1.39000000e-04  1.06924211e-10  2.41625380e-02  2.40148385e-02  2.44034060e-09 
 1.40000000e-04  1.12980852e-10  2.52467766e-02  2.41593262e-02  2.54984789e-09 
 1.41000000e-04  1.19239397e-10  2.63487313e-02  2.43061763e-02  2.66114454e-09 
 1.42000000e-04  1.25701009e-10  2.74677702e-02  2.44553045e-02  2.77416673e-09 
 1.43000000e-04  1.32366809e-10  2.86032835e-02  2.46066294e-02  2.88885288e-09 
 1.44000000e-04  1.39237873e-10  2.97546841e-02  2.47600725e-02  3.00514368e-09 
 1.45000000e-04  1.46315242e-10  3.09214073e-02  2.49155584e-02  3.12298209e-09 
 1.46000000e-04  1.53599925e-10  3.21029109e-02  2.50730148e-02  3.24231334e-09 
 1.47000000e-04  1.61092896e-10  3.32986747e-02  2.52323722e-02  3.36308491e-09 
 1.48000000e-04  1.68795102e-10  3.45082005e-02  2.53935639e-02  3.48524646e-09 
 1.49000000e-04  1.76707464e-10  3.57310110e-02  2.55565262e-02  3.60874979e-09 
 1.50000000e-04  1.84830877e-10  3.69666497e-02  2.57211981e-02  3.73354878e-09 
 1.51000000e-04  1.93166214e-10  3.82146799e-02  2.58875212e-02  3.85959934e-09 
 1.52000000e-04  2.01714326e-10  3.94746844e-02  2.60554397e-02  3.98685931e-09 
 1.53000000e-04  2.10476042e-10  4.07462642e-02  2.62249002e-02  4.11528841e-09 
 1.54000000e-04  2.19452174e-10  4.20290384e-02  2.63958517e-02  4.24484816e-09 
 1.55000000e-04  2.28643515e-10  4.33226430e-02  2.65682456e-02  4.37550180e-09 
 1.56000000e-04  2.38050840e-10  4.46267307e-02  2.67420352e-02  4.50721423e-09 
 1.57000000e-04  2.47674908e-10  4.59409693e-02  2.69171761e-02  4.63995193e-09 
 1.58000000e-04  2.57516462e-10  4.72650420e-02  2.70936257e-02  4.77368287e-09 
 1.59000000e-04  2.67576231e-10  4.85986459e-02  2.72713435e-02  4.90837648e-09 
 1.60000000e-04  2.77854929e-10  4.99414920e-02  2.74502905e-02  5.04400355e-09 
 1.61000000e-04  2.88353254e-10  5.12933040e-02  2.76304297e-02  5.18053617e-09 
 1.62000000e-04  2.99071893e-10  5.26538178e-02  2.78117256e-02  5.31794770e-09 
 1.63000000e-04  3.10011521e-10  5.40227814e-02  2.79941441e-02  5.45621266e-09 
 1.64000000e-04  3.21172797e-10  5.53999536e-02  2.81776527e-02  5.59530669e-09 
 1.65000000e-04  3.32556371e-10  5.67851039e-02  2.83622202e-02  5.73520650e-09 
 1.66000000e-04  3.44162880e-10  5.81780119e-02  2.85478170e-02  5.87588985e-09 
 1.67000000e-04  3.55992950e-10  5.95784667e-02  2.87344143e-02  6.01733542e-09 
 1.68000000e-04  3.68047195e-10  6.09862665e-02  2.89219847e-02  6.15952284e-09 
 1.69000000e-04  3.80326222e-10  6.24012182e-02  2.91105019e-02  6.30243260e-09 
 1.70000000e-04  3.92830623e-10  6.38231369e-02  2.92999408e-02  6.44604602e-09 
 1.71000000e-04  4.05560983e-10  6.52518454e-02  2.94902769e-02  6.59034522e-09 
 1.72000000e-04  4.18517876e-10  6.66871741e-02  2.96814870e-02  6.73531305e-09 
 1.73000000e-04  4.31701868e-10  6.81289604e-02  2.98735486e-02  6.88093309e-09 
 1.74000000e-04  4.45113514e-10  6.95770483e-02  3.00664401e-02  7.02718960e-09 
 1.75000000e-04  4.58753362e-10  7.10312882e-02  3.02601407e-02  7.17406746e-09 
 1.76000000e-04  4.72621949e-10  7.24915368e-02  3.04546302e-02  7.32155218e-09 
 1.77000000e-04  4.86719807e-10  7.39576563e-02  3.06498892e-02  7.46962986e-09 
 1.78000000e-04  5.01047456e-10  7.54295146e-02  3.08458990e-02  7.61828715e-09 
 1.79000000e-04  5.15605411e-10  7.69069846e-02  3.10426414e-02  7.76751122e-09 
 1.80000000e-04  5.30394177e-10  7.83899443e-02  3.12400986e-02  7.91728975e-09 
 1.81000000e-04  5.45414254e-10  7.98782766e-02  3.14382538e-02  8.06761090e-09 
 1.82000000e-04  5.60666132e-10  8.13718687e-02  3.16370901e-02  8.21846328e-09 
 1.83000000e-04  5.76150295e-10  8.28706122e-02  3.18365914e-02  8.36983594e-09 
 1.84000000e-04  5.91867220e-10  8.43744027e-02  3.20367419e-02  8.52171835e-09 
 1.85000000e-04  6.07817378e-10  8.58831400e-02  3.22375262e-02  8.67410036e-09 
 1.86000000e-04  6.24001233e-10  8.73967272e-02  3.24389291e-02  8.82697222e-09 
 1.87000000e-04  6.40419240e-10  8.89150714e-02  3.26409357e-02  8.98032452e-09 
 1.88000000e-04  6.57071852e-10  9.04380828e-02  3.28435315e-02  9.13414820e-09 
 1.89000000e-04  6.73959513e-10  9.19656750e-02  3.30467021e-02  9.28843453e-09 
 1.90000000e-04  6.91082662e-10  9.34977647e-02  3.32504331e-02  9.44317508e-09 
 1.91000000e-04  7.08441732e-10  9.50342713e-02  3.34547105e-02  9.59836175e-09 
 1.92000000e-04  7.26037149e-10  9.65751175e-02  3.36595203e-02  9.75398670e-09 
 1.93000000e-04  7.43869336e-10  9.81202283e-02  3.38648484e-02  9.91004237e-09 
 1.94000000e-04  7.61938710e-10  9.96695315e-02  3.40706807e-02  1.00665215e-08 
 1.95000000e-04  7.80245680e-10  1.01222957e-01  3.42770033e-02  1.02234169e-08 
 1.96000000e-04  7.98790653e-10  1.02780438e-01  3.44838020e-02  1.03807219e-08 
 1.97000000e-04  8.17574031e-10  1.04341910e-01  3.46910624e-02  1.05384300e-08 
 1.98000000e-04  8.36596208e-10  1.05907308e-01  3.48987700e-02  1.06965346e-08 
 1.99000000e-04  8.55857576e-10  1.07476572e-01  3.51069100e-02  1.08550297e-08 
 2.00000000e-04  8.75358522e-10  1.09049644e-01  3.53154673e-02  1.10139094e-08 
 2.01000000e-04  8.95099428e-10  1.10626466e-01  3.55244265e-02  1.11731678e-08 
 2.02000000e-04  9.15080671e-10  1.12206984e-01  3.57337716e-02  1.13327994e-08 
 2.03000000e-04  9.35302624e-10  1.13791143e-01  3.59434862e-02  1.14927989e-08 
 2.04000000e-04  9.55765657e-10  1.15378893e-01  3.61535533e-02  1.16531609e-08 
 2.05000000e-04  9.76470134e-10  1.16970182e-01  3.63639552e-02  1.18138805e-08 
 2.06000000e-04  9.97416417e-10  1.18564963e-01  3.65746736e-02  1.19749527e-08 
 2.07000000e-04  1.01860486e-09  1.20163189e-01  3.67856892e-02  1.21363728e-08 
 2.08000000e-04  1.04003582e-09  1.21764814e-01  3.69969819e-02  1.22981362e-08 
 2.09000000e-04  1.06170964e-09  1.23369793e-01  3.72085306e-02  1.24602384e-08 
 2.10000000e-04  1.08362668e-09  1.24978085e-01  3.74203131e-02  1.26226751e-08 
 2.11000000e-04  1.10578726e-09  1.26589647e-01  3.76323058e-02  1.27854420e-08 
 2.12000000e-04  1.12819173e-09  1.28204438e-01  3.78444840e-02  1.29485352e-08 
