 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00 -7.64437824e-10 -4.45289748e-03  2.73424967e-02 -4.49285935e-10 
 1.00000000e-06 -7.64437824e-10 -4.45289741e-03  2.73424967e-02 -4.49285928e-10 
 2.00000000e-06 -7.64437823e-10 -4.45289719e-03  2.73424967e-02 -4.49285905e-10 
 3.00000000e-06 -7.64437822e-10 -4.45289681e-03  2.73424968e-02 -4.49285867e-10 
 4.00000000e-06 -7.64437821e-10 -4.45289627e-03  2.73424969e-02 -4.49285813e-10 
 5.00000000e-06 -7.64437819e-10 -4.45289557e-03  2.73424970e-02 -4.49285742e-10 
 6.00000000e-06 -7.64437817e-10 -4.45289470e-03  2.73424972e-02 -4.49285654e-10 
 7.00000000e-06 -7.64437815e-10 -4.45289366e-03  2.73424974e-02 -4.49285549e-10 
 8.00000000e-06 -7.64437811e-10 -4.45289244e-03  2.73424977e-02 -4.49285426e-10 
 9.00000000e-06 -7.64437808e-10 -4.45289104e-03  2.73424979e-02 -4.49285284e-10 
 1.00000000e-05 -7.64437803e-10 -4.45288944e-03  2.73424983e-02 -4.49285123e-10 
 1.10000000e-05 -7.64437798e-10 -4.45288764e-03  2.73424986e-02 -4.49284941e-10 
 1.20000000e-05 -7.64437792e-10 -4.45288562e-03  2.73424990e-02 -4.49284738e-10 
 1.30000000e-05 -7.64437785e-10 -4.45288338e-03  2.73424995e-02 -4.49284511e-10 
 1.40000000e-05 -7.64437778e-10 -4.45288090e-03  2.73425000e-02 -4.49284261e-10 
 1.50000000e-05 -7.64437769e-10 -4.45287816e-03  2.73425005e-02 -4.49283984e-10 
 1.60000000e-05 -7.64437760e-10 -4.45287516e-03  2.73425011e-02 -4.49283680e-10 
 1.70000000e-05 -7.64437749e-10 -4.45287186e-03  2.73425018e-02 -4.49283347e-10 
 1.80000000e-05 -7.64437738e-10 -4.45286825e-03  2.73425025e-02 -4.49282983e-10 
 1.90000000e-05 -7.64437725e-10 -4.45286430e-03  2.73425033e-02 -4.49282584e-10 
 2.00000000e-05 -7.64437710e-10 -4.45286001e-03  2.73425042e-02 -4.49282150e-10 
 2.10000000e-05 -7.64437695e-10 -4.45285532e-03  2.73425051e-02 -4.49281677e-10 
 2.20000000e-05 -7.64437677e-10 -4.45285023e-03  2.73425061e-02 -4.49281162e-10 
 2.30000000e-05 -7.64437658e-10 -4.45284469e-03  2.73425072e-02 -4.49280603e-10 
 2.40000000e-05 -7.64437637e-10 -4.45283867e-03  2.73425084e-02 -4.49279996e-10 
 2.50000000e-05 -7.64437614e-10 -4.45283214e-03  2.73425098e-02 -4.49279336e-10 
 2.60000000e-05 -7.64437589e-10 -4.45282505e-03  2.73425112e-02 -4.49278620e-10 
 2.70000000e-05 -7.64437561e-10 -4.45281736e-03  2.73425127e-02 -4.49277843e-10 
 2.80000000e-05 -7.64437531e-10 -4.45280902e-03  2.73425144e-02 -4.49277001e-10 
 2.90000000e-05 -7.64437498e-10 -4.45279998e-03  2.73425162e-02 -4.49276089e-10 
 3.00000000e-05 -7.64437462e-10 -4.45279019e-03  2.73425182e-02 -4.49275099e-10 
 3.10000000e-05 -7.64437423e-10 -4.45277958e-03  2.73425203e-02 -4.49274028e-10 
