 2.00000000e-07  6.52374085e-24  2.00000000e-07  4.26294847e-06  2.00000000e-07 -1.13789033e-22  2.00000000e-07  8.21417833e-06  2.00000000e-07  2.42079576e-23  2.00000000e-07  2.87975774e-06  2.00000000e-07  5.14790684e-23  2.00000000e-07  3.99284472e-06  2.00000000e-07 -1.91768248e-23  2.00000000e-07  5.12460827e-06 
 2.31919424e-07  2.93108419e-15  2.31919424e-07  4.26637144e-06  2.31919424e-07  9.14181219e-14  2.31919424e-07  8.22951074e-06  2.31919424e-07  2.67515013e-15  2.31919424e-07  2.88206895e-06  2.31919424e-07  5.14882554e-15  2.31919424e-07  4.00077389e-06  2.31919424e-07  8.47152275e-15  2.31919424e-07  5.12872475e-06 
 2.95758272e-07  1.01568272e-14  2.95758272e-07  4.27021310e-06  2.95758272e-07  3.14972775e-13  2.95758272e-07  8.23001946e-06  2.95758272e-07  9.26994927e-15  2.95758272e-07  2.88466293e-06  2.95758272e-07  1.78445052e-14  2.95758272e-07  4.00448812e-06  2.95758272e-07  2.93556710e-14  2.95758272e-07  5.13334463e-06 
 4.23435968e-07  3.07837239e-14  4.23435968e-07  4.27788001e-06  4.23435968e-07  9.24925829e-13  4.23435968e-07  8.22996423e-06  4.23435968e-07  2.80955324e-14  4.23435968e-07  2.88983850e-06  4.23435968e-07  5.40950989e-14  4.23435968e-07  4.01156638e-06  4.23435968e-07  8.89730576e-14  4.23435968e-07  5.14256660e-06 
 6.78791359e-07  9.97988024e-14  6.78791359e-07  4.29325969e-06  6.78791359e-07  2.79718828e-12  6.78791359e-07  8.23101569e-06  6.78791359e-07  9.10806144e-14  6.78791359e-07  2.90021107e-06  6.78791359e-07  1.75413514e-13  6.78791359e-07  4.02609310e-06  6.78791359e-07  2.88454227e-13  6.78791359e-07  5.16107956e-06 
 1.18950214e-06  3.73438463e-13  1.18950214e-06  4.32415850e-06  1.18950214e-06  9.16067609e-12  1.18950214e-06  8.23239762e-06  1.18950214e-06  3.40751442e-13  1.18950214e-06  2.92099180e-06  1.18950214e-06  6.56500741e-13  1.18950214e-06  4.05493111e-06  1.18950214e-06  1.07954460e-12  1.18950214e-06  5.19835866e-06 
 2.21092371e-06  1.66157784e-12  2.21092371e-06  4.38709952e-06  2.21092371e-06  3.24534826e-11  2.21092371e-06  8.23771872e-06  2.21092371e-06  1.51460032e-12  2.21092371e-06  2.96291177e-06  2.21092371e-06  2.92087546e-12  2.21092371e-06  4.11387830e-06  2.21092371e-06  4.80739025e-12  2.21092371e-06  5.27489799e-06 
 4.25376684e-06  8.84605111e-12  4.25376684e-06  4.52141764e-06  4.25376684e-06  1.22317437e-10  4.25376684e-06  8.25429056e-06  4.25376684e-06  8.02169160e-12  4.25376684e-06  3.04931390e-06  4.25376684e-06  1.55342511e-11  4.25376684e-06  4.23838123e-06  4.25376684e-06  2.57043441e-11  4.25376684e-06  5.44278511e-06 
 7.69345953e-06  4.45008536e-11  7.69345953e-06  4.79690858e-06  7.69345953e-06  4.13955234e-10  7.69345953e-06  8.31492909e-06  7.69345953e-06  3.96130923e-11  7.69345953e-06  3.20941846e-06  7.69345953e-06  7.78303259e-11  7.69345953e-06  4.48863193e-06  7.69345953e-06  1.31305441e-10  7.69345953e-06  5.81394569e-06 
 1.33346611e-05  2.27991534e-10  1.33346611e-05  5.52574853e-06  1.33346611e-05  1.40420149e-09  1.33346611e-05  8.61787593e-06  1.33346611e-05  1.91441366e-10  1.33346611e-05  3.54774284e-06  1.33346611e-05  3.93609608e-10  1.33346611e-05  5.12128188e-06  1.33346611e-05  7.06105688e-10  1.33346611e-05  6.95201419e-06 
 2.00000000e-05  8.65459591e-10  2.00000000e-05  7.36996856e-06  2.00000000e-05  4.64570968e-09  2.00000000e-05  1.05128487e-05  2.00000000e-05  6.55014324e-10  2.00000000e-05  4.17630481e-06  2.00000000e-05  1.46000760e-09  2.00000000e-05  6.63210484e-06  2.00000000e-05  2.92024879e-09  2.00000000e-05  1.04141562e-05 
