 2.00000000e-07 -1.19165707e-23  2.00000000e-07 -3.21501840e-23  2.00000000e-07  0.00000000e+00  2.00000000e-07 -1.40453453e-22  2.00000000e-07 -2.16262473e-27  2.00000000e-07 -7.20164121e-23  2.00000000e-07  0.00000000e+00 
 1.33386397e-05  2.22081970e-10  1.33386397e-05  1.87556767e-10  1.33386397e-05  0.00000000e+00  1.33386397e-05  1.39623109e-09  1.33386397e-05  1.03903856e-14  1.33386397e-05  6.84489814e-10  1.33386397e-05  0.00000000e+00 
 5.09118676e-05  7.01337983e-08  5.09118676e-05  2.17617069e-08  5.09118676e-05  0.00000000e+00  5.09118676e-05  1.51827608e-05  5.09118676e-05  1.35259445e-10  5.09118676e-05  4.59815717e-07  5.09118676e-05  0.00000000e+00 
 1.79200509e-04  4.87621911e-03  1.79200509e-04  9.41185829e-04  1.79200509e-04  0.00000000e+00  1.79200509e-04  3.06152121e-02  1.79200509e-04  2.54693535e-08  1.79200509e-04  1.88147802e-02  1.79200509e-04  0.00000000e+00 
 3.79200509e-04  7.85614414e-02  3.79200509e-04  6.37953125e-02  3.79200509e-04  0.00000000e+00  3.79200509e-04  2.25228122e-01  3.79200509e-04  6.15148240e-08  3.79200509e-04  2.13037200e-01  3.79200509e-04  0.00000000e+00 
 5.79200509e-04  2.42628790e-01  5.79200509e-04  2.38562179e-01  5.79200509e-04  0.00000000e+00  5.79200509e-04  5.97284453e-01  5.79200509e-04  8.31340814e-08  5.79200509e-04  6.05174785e-01  5.79200509e-04  0.00000000e+00 
 7.79200509e-04  4.90846908e-01  7.79200509e-04  5.13486170e-01  7.79200509e-04  0.00000000e+00  7.79200509e-04  1.13910267e+00  7.79200509e-04  9.64440152e-08  7.79200509e-04  1.16785443e+00  7.79200509e-04  0.00000000e+00 
 9.79200509e-04  8.15748608e-01  9.79200509e-04  8.73322325e-01  9.79200509e-04  3.47122655e-01  9.79200509e-04  1.84163921e+00  9.79200509e-04  1.04349251e-07  9.79200509e-04  1.87437788e+00  9.79200509e-04  2.91276150e-01 
 1.17920051e-03  1.20945179e+00  1.17920051e-03  1.30133375e+00  1.17920051e-03  7.62293733e-01  1.17920051e-03  2.69496402e+00  1.17920051e-03  1.08965089e-07  1.17920051e-03  2.69995073e+00  1.17920051e-03  6.73168238e-01 
 1.37920051e-03  1.66404237e+00  1.37920051e-03  1.78322039e+00  1.37920051e-03  1.22972378e+00  1.37920051e-03  3.68841444e+00  1.37920051e-03  1.11581882e-07  1.37920051e-03  3.62173033e+00  1.37920051e-03  1.11412109e+00 
 1.57920051e-03  2.17166008e+00  1.57920051e-03  2.30642858e+00  1.57920051e-03  1.73723572e+00  1.57920051e-03  4.81068826e+00  1.57920051e-03  1.12948104e-07  1.57920051e-03  4.61869623e+00  1.57920051e-03  1.60651028e+00 
 1.77920051e-03  2.72450285e+00  1.77920051e-03  2.85969122e+00  1.77920051e-03  2.27390048e+00  1.77920051e-03  6.04991951e+00  1.77920051e-03  1.13498078e-07  1.77920051e-03  5.67149129e+00  1.77920051e-03  2.14276777e+00 
