 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199926846611e+01  2.618784163693e-04 -1.004299714660e-04 -1.011861675339e-05 
 2.330000000000e-04  6.090796090035e-01  6.925518552961e-01  5.665578558104e-02 -4.679935708211e+00 
 2.340000000000e-04  6.032381853451e-01  6.913062290215e-01  5.664850186666e-02 -4.627125837419e+00 
 2.350000000000e-04  5.974773551994e-01  6.901047113562e-01  5.664145744466e-02 -4.574257451584e+00 
 2.360000000000e-04  5.917971045589e-01  6.889458421914e-01  5.663464564862e-02 -4.521334731373e+00 
 2.370000000000e-04  5.861974105599e-01  6.878280598051e-01  5.662805907456e-02 -4.468361975838e+00 
 2.380000000000e-04  5.806782411446e-01  6.867497403562e-01  5.662168981123e-02 -4.415343608765e+00 
 2.390000000000e-04  5.752395548001e-01  6.857092317313e-01  5.661552964342e-02 -4.362284181293e+00 
 2.400000000000e-04  5.698813003668e-01  6.847048817095e-01  5.660957022288e-02 -4.309188371406e+00 
 2.410000000000e-04  5.646034169074e-01  6.837350607176e-01  5.660380320961e-02 -4.256060980876e+00 
 2.420000000000e-04  5.594058336288e-01  6.827981796473e-01  5.659822038538e-02 -4.202906930202e+00 
 2.430000000000e-04  5.542884698473e-01  6.818927033145e-01  5.659281374199e-02 -4.149731252033e+00 
 2.440000000000e-04  5.492512349916e-01  6.810171601792e-01  5.658757554811e-02 -4.096539083486e+00 
 2.450000000000e-04  5.442940286340e-01  6.801701489347e-01  5.658249839699e-02 -4.043335657713e+00 
 2.460000000000e-04  5.394167405471e-01  6.793503425305e-01  5.657757523849e-02 -3.990126295015e+00 
 2.470000000000e-04  5.346192507794e-01  6.785564901412e-01  5.657279940017e-02 -3.936916393739e+00 
 2.480000000000e-04  5.299014297466e-01  6.777874175209e-01  5.656816459588e-02 -3.883711421128e+00 
 2.490000000000e-04  5.252631383330e-01  6.770420261209e-01  5.656366492839e-02 -3.830516904292e+00 
 2.500000000000e-04  5.207042280049e-01  6.763192912815e-01  5.655929488500e-02 -3.777338421386e+00 
 2.510000000000e-04  5.162245409277e-01  6.756182597581e-01  5.655504932836e-02 -3.724181593086e+00 
 2.520000000000e-04  5.118239100903e-01  6.749380467841e-01  5.655092348543e-02 -3.671052074415e+00 
 2.530000000000e-04  5.075021594322e-01  6.742778328366e-01  5.654691293178e-02 -3.617955546945e+00 
