 time                v(vout)             v(vinf)             v(buck_input)       v(comp)             i(L1)              
 0.000000000000e+00 -1.727836595102e-08 -2.417207956282e-06 -1.071943263012e-02  5.943859692635e-01 -1.080473817470e-09 
 1.000000000000e-06 -1.727836596494e-08 -2.416762394349e-06 -1.071943262248e-02  5.943859692756e-01 -1.080474449117e-09 
 2.000000000000e-06 -1.727836596586e-08 -2.415993049644e-06 -1.071943261964e-02  5.943859692883e-01 -1.080474419068e-09 
 3.000000000000e-06 -1.727836596675e-08 -2.414902545848e-06 -1.071943261860e-02  5.943859693009e-01 -1.080474416483e-09 
 4.000000000000e-06 -1.727836596763e-08 -2.413479577809e-06 -1.071943261821e-02  5.943859693136e-01 -1.080474416017e-09 
 5.000000000000e-06 -1.727836596852e-08 -2.411708255729e-06 -1.071943261804e-02  5.943859693262e-01 -1.080474415964e-09 
 6.000000000000e-06 -1.727836596941e-08 -2.409567886059e-06 -1.071943261794e-02  5.943859693388e-01 -1.080474415946e-09 
 7.000000000000e-06 -1.727836597030e-08 -2.407032685995e-06 -1.071943261788e-02  5.943859693516e-01 -1.080474415940e-09 
 8.000000000000e-06 -1.727836597119e-08 -2.404071427745e-06 -1.071943261782e-02  5.943859693643e-01 -1.080474415934e-09 
 9.000000000000e-06 -1.727836597208e-08 -2.400647007575e-06 -1.071943261777e-02  5.943859693769e-01 -1.080474415929e-09 
 1.000000000000e-05 -1.727836597297e-08 -2.396715933862e-06 -1.071943261771e-02  5.943859693895e-01 -1.080474415923e-09 
 1.100000000000e-05 -1.727836597386e-08 -2.392227726892e-06 -1.071943261765e-02  5.943859694022e-01 -1.080474415916e-09 
 1.200000000000e-05 -1.727836597475e-08 -2.387124222142e-06 -1.071943261759e-02  5.943859694148e-01 -1.080474415910e-09 
 1.300000000000e-05 -1.727836597564e-08 -2.381338767735e-06 -1.071943261752e-02  5.943859694276e-01 -1.080474415902e-09 
 1.400000000000e-05 -1.727836597653e-08 -2.374795304463e-06 -1.071943261745e-02  5.943859694402e-01 -1.080474415896e-09 
 1.500000000000e-05 -1.727836597742e-08 -2.367407316258e-06 -1.071943261737e-02  5.943859694528e-01 -1.080474415888e-09 
 1.600000000000e-05 -1.727836597831e-08 -2.359076636116e-06 -1.071943261728e-02  5.943859694655e-01 -1.080474415879e-09 
 1.700000000000e-05 -1.727836597920e-08 -2.349692091367e-06 -1.071943261719e-02  5.943859694781e-01 -1.080474415868e-09 
 1.800000000000e-05 -1.727836598009e-08 -2.339127969550e-06 -1.071943261709e-02  5.943859694908e-01 -1.080474415859e-09 
 1.900000000000e-05 -1.727836598098e-08 -2.327242283421e-06 -1.071943261698e-02  5.943859695034e-01 -1.080474415848e-09 
 2.000000000000e-05 -1.727836598187e-08 -2.313874811724e-06 -1.071943261686e-02  5.943859695161e-01 -1.080474415836e-09 
 2.100000000000e-05 -1.727836598276e-08 -2.298844887988e-06 -1.071943261674e-02  5.943859695288e-01 -1.080474415822e-09 
 2.200000000000e-05 -1.727836598364e-08 -2.281948907697e-06 -1.071943261659e-02  5.943859695414e-01 -1.080474415809e-09 
 2.300000000000e-05 -1.727836598453e-08 -2.262957518691e-06 -1.071943261644e-02  5.943859695541e-01 -1.080474415793e-09 
 2.400000000000e-05 -1.727836598542e-08 -2.241612456439e-06 -1.071943261627e-02  5.943859695667e-01 -1.080474415776e-09 
 2.500000000000e-05 -1.727836598631e-08 -2.217622980783e-06 -1.071943261608e-02  5.943859695794e-01 -1.080474415757e-09 
 2.600000000000e-05 -1.727836598720e-08 -2.190661601563e-06 -1.071943261587e-02  5.943859695921e-01 -1.080474415735e-09 
 2.700000000000e-05 -1.727836598809e-08 -2.160358648573e-06 -1.071943261564e-02  5.943859696047e-01 -1.080474415714e-09 
 2.800000000000e-05 -1.727836598897e-08 -2.126300189722e-06 -1.071943261539e-02  5.943859696174e-01 -1.080474415688e-09 
 2.900000000000e-05 -1.727836598986e-08 -2.088020699225e-06 -1.071943261511e-02  5.943859696301e-01 -1.080474415657e-09 
 3.000000000000e-05 -1.727836599074e-08 -2.044996252808e-06 -1.071943261479e-02  5.943859696427e-01 -1.080474415463e-09 
