Designator,Old_rotation,New_rotation,Old_X,New_X,Old_Y,New_Y
Q70,0.000000,180.000000,287.913000,287.913000,-227.680000,-227.680000
Q76,0.000000,180.000000,312.475000,312.475000,-150.970000,-150.970000
Q78,0.000000,180.000000,312.475000,312.475000,-176.532000,-176.532000
Q80,0.000000,180.000000,312.475000,312.475000,-202.112000,-202.112000
Q82,0.000000,180.000000,312.475000,312.475000,-227.680000,-227.680000
Q83,0.000000,90.000000,354.687000,354.687000,-181.400000,-181.400000
Q84,0.000000,90.000000,354.512000,354.512000,-198.254000,-198.254000
Q85,0.000000,90.000000,354.660000,354.660000,-215.126000,-215.126000
Q86,0.000000,90.000000,354.512000,354.512000,-231.986000,-231.986000
Q87,0.000000,90.000000,376.387000,376.387000,-181.436000,-181.436000
Q88,0.000000,90.000000,376.511000,376.511000,-198.260000,-198.260000
Q89,0.000000,90.000000,376.382000,376.382000,-215.095000,-215.095000
Q90,0.000000,90.000000,376.511000,376.511000,-231.972000,-231.972000
Q91,0.000000,180.000000,411.644000,411.644000,-181.479000,-181.479000
Q92,0.000000,180.000000,411.644000,411.644000,-198.343000,-198.343000
Q93,0.000000,180.000000,411.644000,411.644000,-215.218000,-215.218000
Q94,0.000000,180.000000,411.644000,411.644000,-232.061000,-232.061000
Q95,0.000000,180.000000,433.440000,433.440000,-189.505000,-189.505000
Q96,0.000000,180.000000,433.440000,433.440000,-206.369000,-206.369000
Q97,0.000000,180.000000,433.440000,433.440000,-223.224000,-223.224000
Q98,0.000000,180.000000,433.510000,433.510000,-240.089000,-240.089000
U1,180.000000,90.000000,151.646000,151.646000,-107.300000,-107.300000
U2,0.000000,270.000000,170.842000,170.842000,-107.300000,-107.300000
U3,0.000000,270.000000,190.123000,190.123000,-107.300000,-107.300000
U4,0.000000,270.000000,220.972000,220.972000,-107.300000,-107.300000
U5,0.000000,270.000000,260.539000,260.539000,-107.300000,-107.300000
U6,0.000000,270.000000,92.122000,92.122000,-71.490000,-71.490000
U9,0.000000,270.000000,336.358000,336.358000,-121.970000,-121.970000
U10,0.000000,270.000000,333.772000,333.772000,-149.885000,-149.885000
U11,0.000000,270.000000,354.225000,354.225000,-149.717000,-149.717000
U12,0.000000,270.000000,375.455000,375.455000,-149.634000,-149.634000
U13,0.000000,270.000000,388.823000,388.823000,-149.634000,-149.634000
U15,0.000000,270.000000,343.857000,343.857000,-167.411000,-167.411000
U16,0.000000,270.000000,380.987000,380.987000,-171.333000,-171.333000
U18,0.000000,270.000000,408.408000,408.408000,-165.417000,-165.417000
U19,0.000000,270.000000,425.010000,425.010000,-171.681000,-171.681000
