stdout Note: No compatibility mode selected!
stdout Circuit: all 64 lamp paths, raw rom row/column strobes, 20.69 v
stdout Doing analysis at TEMP = 27.000000 and TNOM = 27.000000
stdout Using KLU as Direct Linear Solver
stdout Initial Transient Solution
stdout --------------------------
stdout Node                                   Voltage
stdout ----                                   -------
stdout rail                                     20.69
stdout vcc                                          5
stdout ref                                    1.29012
stdout mid                                   0.645061
stdout row0cmd                                    4.5
stdout row1cmd                                    4.5
stdout row2cmd                                    4.5
stdout row3cmd                                    4.5
stdout row4cmd                                    4.5
stdout row5cmd                                    4.5
stdout row6cmd                                    4.5
stdout row7cmd                                    4.5
stdout col0cmd                                      0
stdout col1cmd                                      0
stdout col2cmd                                      0
stdout col3cmd                                    4.5
stdout col4cmd                                      0
stdout col5cmd                                      0
stdout col6cmd                                      0
stdout col7cmd                                      0
stdout col0in                                       0
stdout xdriver0.g                                   0
stdout col0sink                                 20.69
stdout col0g                                    20.69
stdout col0drain                            0.0863491
stdout col0                                 0.0863491
stdout row0q                                  4.48225
stdout row0g                                  4.43787
stdout row0                                  0.086076
stdout row0s                                0.0621946
stdout row0sh                               0.0621946
stdout row0sense                            0.0621946
stdout clr0                                   4.99995
stdout col1in                                       0
stdout xdriver1.g                                   0
stdout col1sink                                 20.69
stdout col1g                                    20.69
stdout col1drain                            0.0863491
stdout col1                                 0.0863491
stdout row1q                                  4.48225
stdout row1g                                  4.43787
stdout row1                                  0.086076
stdout row1s                                0.0621946
stdout row1sh                               0.0621946
stdout row1sense                            0.0621946
stdout clr1                                   4.99995
stdout col2in                                       0
stdout xdriver2.g                                   0
stdout col2sink                                 20.69
stdout col2g                                    20.69
stdout col2drain                            0.0863491
stdout col2                                 0.0863491
stdout row2q                                  4.48225
stdout row2g                                  4.43787
stdout row2                                  0.086076
stdout row2s                                0.0621946
stdout row2sh                               0.0621946
stdout row2sense                            0.0621946
stdout clr2                                   4.99995
stdout col3in                                 4.49836
stdout xdriver3.g                             4.08942
stdout col3sink                             0.0105327
stdout col3g                                  8.28232
stdout col3drain                              20.5693
stdout col3                                   20.5693
stdout row3q                                  4.48225
stdout row3g                                  4.43787
stdout row3                                  0.086076
stdout row3s                                0.0621946
stdout row3sh                               0.0621946
stdout row3sense                            0.0621946
stdout clr3                                   4.99995
stdout col4in                                       0
stdout xdriver4.g                                   0
stdout col4sink                                 20.69
stdout col4g                                    20.69
stdout col4drain                            0.0863491
stdout col4                                 0.0863491
stdout row4q                                  4.48225
stdout row4g                                  4.43787
stdout row4                                  0.086076
stdout row4s                                0.0621946
stdout row4sh                               0.0621946
stdout row4sense                            0.0621946
stdout clr4                                   4.99995
stdout col5in                                       0
stdout xdriver5.g                                   0
stdout col5sink                                 20.69
stdout col5g                                    20.69
stdout col5drain                            0.0863491
