Designator,MPN,Mid_X_mm,Mid_Y_mm,Rotation_deg,Pin1_X_mm,Pin1_Y_mm,Pin1_function,Pin1_marker
U21,TPS552872QWRYQRQ1,143.0,-68.0,0,140.6,-67.25,EN/UVLO,"Left edge, toward upper corner; see assembly PDF"
U20,TPS552872QWRYQRQ1,269.0,-58.0,0,266.6,-57.25,EN/UVLO,"Left edge, toward upper corner; see assembly PDF"
